current,voltage,capacity
1299.8,3.5208,33.1
1299.8,3.5208,33.1
1299.8,3.5212,33.2
1299.8,3.5212,33.2
1299.8,3.5215,33.2
1299.8,3.5215,33.3
1299.8,3.5218,33.3
1299.8,3.5218,33.3
1299.8,3.5218,33.4
1299.8,3.5221,33.4
1299.8,3.5221,33.4
1299.8,3.5224,33.5
1299.8,3.5224,33.5
1299.8,3.523,33.6
1299.8,3.523,33.6
1299.8,3.523,33.6
1299.8,3.5233,33.7
1299.8,3.5233,33.7
1299.8,3.5236,33.7
1299.8,3.5236,33.8
1299.8,3.5239,33.8
1299.8,3.5239,33.8
1299.8,3.5239,33.9
1299.8,3.5243,33.9
1299.8,3.5243,34
1299.8,3.5246,34
1299.8,3.5246,34
1299.8,3.5249,34.1
1299.8,3.5249,34.1
1299.8,3.5249,34.1
1299.8,3.5252,34.2
1299.8,3.5252,34.2
1299.8,3.5255,34.2
1299.8,3.5255,34.3
1299.8,3.5255,34.3
1299.8,3.5258,34.4
1299.8,3.5258,34.4
1299.8,3.5261,34.4
1299.8,3.5261,34.5
1299.8,3.5264,34.5
1299.8,3.5264,34.5
1299.8,3.5264,34.6
1299.8,3.5267,34.6
1299.8,3.5267,34.6
1299.8,3.527,34.7
1299.8,3.527,34.7
1299.8,3.5274,34.7
1299.8,3.5274,34.8
1299.8,3.5274,34.8
1299.8,3.5277,34.9
1299.8,3.5277,34.9
1299.8,3.528,34.9
1299.8,3.528,35
1299.8,3.528,35
1299.8,3.5283,35
1299.8,3.5283,35.1
1299.8,3.5286,35.1
1299.8,3.5286,35.1
1299.8,3.5289,35.2
1299.8,3.5289,35.2
1299.8,3.5289,35.3
1299.8,3.5292,35.3
1299.8,3.5292,35.3
1299.8,3.5295,35.4
1299.8,3.5295,35.4
1299.8,3.5295,35.4
1299.8,3.5301,35.5
1299.8,3.5301,35.5
1299.8,3.5305,35.5
1299.8,3.5305,35.6
1299.8,3.5305,35.6
1299.8,3.5308,35.7
1299.8,3.5308,35.7
1299.8,3.5311,35.7
1299.8,3.5311,35.8
1299.8,3.5311,35.8
1299.8,3.5314,35.8
1299.8,3.5314,35.9
1299.8,3.5317,35.9
1299.8,3.5317,35.9
1299.8,3.532,36
1299.8,3.532,36
1299.8,3.532,36
1299.8,3.5323,36.1
1299.8,3.5323,36.1
1299.8,3.5326,36.2
1299.8,3.5326,36.2
1299.8,3.5329,36.2
1299.8,3.5329,36.3
1299.8,3.5329,36.3
1299.8,3.5332,36.3
1299.8,3.5332,36.4
